t,n,e0,e1,e2,e3
0,1,-1,-1,-1,-1
1,2.0,-1,0.0,0.0,0.0
2,2.8414709848078967,-1,0.0,0.0,0.4207354924039484
3,2.909297426825682,-1,0.0,0.0,0.4207354924039484
4,2.1411200080598674,1.1411200080598674,0.0,0.0,1.1742606980131205
5,1.2431975046920718,1.1411200080598674,0.0,0.0,1.1742606980131205
6,1.0410757253368614,1.1411200080598674,0.0,0.0,1.1742606980131205
7,1.7205845018010741,0.14112000805986735,0.0,0.0,1.1742606980131205
8,2.656986598718789,0.14112000805986735,0.0,0.0,0.1742606980131205
9,2.989358246623382,0.14112000805986735,0.0,0.0,0.1742606980131205
10,2.4121184852417565,1.543038067136186,0.0,0.0,0.1742606980131205
11,1.4559788891106302,1.543038067136186,0.0,0.0,0.7222419674002939
12,1.0000097934492964,1.543038067136186,0.0,0.0,0.7222419674002939
13,1.4634270819995652,0.5430380671361861,0.0,0.0,0.7222419674002939
14,2.420167036826641,0.5430380671361861,0.0,0.0,-0.2777580325997061
15,2.9906073556948702,0.5430380671361861,0.0,0.0,-0.04205516160440523
16,2.650287840157117,2.3540526866933664,0.0,0.0,-0.04205516160440523
17,1.7120966833349347,2.3540526866933664,0.0,0.0,0.5304361352135041
18,1.038602508120443,2.3540526866933664,0.0,0.0,-0.4695638647864959
19,1.2490127532283237,1.3540526866933664,0.0,0.0,-0.26697409298952657
20,2.1498772096629524,1.3540526866933664,0.0,0.0,0.4542871224033219
21,2.9129452507276277,1.3540526866933664,0.0,0.0,0.8092227613481645
22,2.836655638536056,3.625170920838015,0.0,0.0,0.8092227613481645
23,1.991148690709596,3.625170920838015,0.0,0.0,1.4927744656626294
24,1.1537795958248294,3.625170920838015,0.0,0.0,0.4927744656626294
25,1.0944216379933762,3.625170920838015,0.0,0.0,0.4927744656626294
26,1.8676482499022269,2.625170920838015,0.0,0.0,1.1114963226452514
27,2.762558450479603,2.625170920838015,0.0,0.0,1.5906605339062452
28,2.956375928404503,2.625170920838015,0.0,0.0,1.5906605339062452
29,2.270905788307869,3.8410882052767485,0.0,0.0,1.5906605339062452
30,1.3363661157870323,3.8410882052767485,0.0,0.0,2.0744027387291073
31,1.0119683759071383,3.8410882052767485,0.0,0.0,1.0744027387291073
32,1.595962354676935,2.8410882052767485,0.0,0.0,1.6514899211682808
33,2.551426681241691,2.8410882052767485,0.0,0.0,2.250165901065167
34,2.999911860107267,2.8410882052767485,0.0,0.0,2.250165901065167
35,2.5290826861200237,4.425763858000385,0.0,0.0,2.250165901065167
36,1.571817330503849,4.425763858000385,0.0,0.0,2.8662201824050877
37,1.0082211465568842,4.425763858000385,0.0,0.0,1.8662201824050877
38,1.3564618666430004,3.4257638580003853,0.0,0.0,2.2116213092068535
39,2.2963685787093855,3.4257638580003853,0.0,0.0,2.90453184003695
40,2.9637953862840876,3.4257638580003853,0.0,0.0,3.19517630093173
41,2.745113160479349,5.449494290816024,0.0,0.0,3.19517630093173
42,1.841377331195291,5.449494290816024,0.0,0.0,3.8164666031289918
43,1.0834784520843663,5.449494290816024,0.0,0.0,2.8164666031289918
44,1.1682252573714016,4.449494290816024,0.0,0.0,2.8164666031289918
45,2.017701925105414,4.449494290816024,0.0,0.0,3.678711229428494
46,2.8509035245341185,4.449494290816024,0.0,0.0,4.09165706105086
47,2.901788347648809,4.449494290816024,0.0,0.0,4.09165706105086
48,2.123573122745224,6.267271392745347,0.0,0.0,4.836534291890247
49,1.2317453386763333,6.267271392745347,0.0,0.0,3.8365342918902474
50,1.046247347240528,6.267271392745347,0.0,0.0,3.8365342918902474
51,1.7376251462960712,5.267271392745347,0.0,0.0,4.247235913187528
52,2.6702291758433745,5.267271392745347,0.0,0.0,4.7839477762353475
53,2.9866275920404854,5.267271392745347,0.0,0.0,4.7839477762353475
54,2.395925150181834,6.646121805499213,0.0,0.0,4.7839477762353475
55,1.4412109511483837,6.646121805499213,0.0,0.0,5.323680831430202
56,1.0002448266413801,6.646121805499213,0.0,0.0,4.323680831430202
57,1.4784489979130881,5.646121805499213,0.0,0.0,4.801767954237347
58,2.436164755247825,5.646121805499213,0.0,0.0,5.449552056824994
59,2.9928726480845373,5.646121805499213,0.0,0.0,5.6780702190870045
60,2.636738007139138,7.429570548648986,0.0,0.0,5.6780702190870045
61,1.6951893788977834,7.429570548648986,0.0,0.0,6.244479010313961
62,1.033882229991607,7.429570548648986,0.0,0.0,5.244479010313961
63,1.260819303350777,6.429570548648986,0.0,0.0,5.463978936684697
64,2.167355700302807,6.429570548648986,0.0,0.0,6.182984740722437
65,2.9200260381967906,6.429570548648986,0.0,0.0,6.530260611401545
66,2.826828679490103,8.671627496839317,0.0,0.0,6.530260611401545
67,1.973448845976033,8.671627496839317,0.0,0.0,7.206093230755412
68,1.1444800210246777,8.671627496839317,0.0,0.0,6.206093230755412
69,1.1020723193107087,8.671627496839317,0.0,0.0,6.206093230755412
70,1.8852151862168127,7.671627496839317,0.0,0.0,6.8533174300288415
71,2.773890681557889,7.671627496839317,0.0,0.0,7.324709503378537
72,2.9510546532543747,7.671627496839317,0.0,0.0,7.324709503378537
73,2.253823362762036,8.867153280442267,0.0,0.0,7.324709503378537
74,1.3232280431126924,8.867153280442267,0.0,0.0,7.801739132523668
